trip_id,stop_id,arrival_time,departure_time,stop_sequence
trip_0,7821367633,08:00:00,08:00:00,0
trip_0,1600628531,08:05:00,08:05:00,1
trip_0,2677221182,08:10:00,08:10:00,2
trip_0,1600494840,08:15:00,08:15:00,3
trip_0,11365337991,08:20:00,08:20:00,4
trip_0,2677221163,08:25:00,08:25:00,5
trip_0,11365337992,08:30:00,08:30:00,6
trip_0,3477117934,08:35:00,08:35:00,7
trip_0,2677221139,08:40:00,08:40:00,8
trip_0,1600494858,08:45:00,08:45:00,9
trip_0,2677221124,08:50:00,08:50:00,10
trip_0,3482779325,08:55:00,08:55:00,11
trip_0,2677221100,09:00:00,09:00:00,12
trip_0,1600494860,09:05:00,09:05:00,13
trip_0,1600494845,09:10:00,09:10:00,14
trip_0,2677221091,09:15:00,09:15:00,15
trip_0,1600641418,09:20:00,09:20:00,16
trip_0,1600636789,09:25:00,09:25:00,17
trip_0,12647036056,09:30:00,09:30:00,18
trip_0,1600641440,09:35:00,09:35:00,19
trip_0,12647036058,09:40:00,09:40:00,20
trip_0,1600636772,09:45:00,09:45:00,21
trip_0,3017320710,09:50:00,09:50:00,22
trip_0,1600636790,09:55:00,09:55:00,23
trip_0,3423729571,10:00:00,10:00:00,24
trip_0,8158702167,10:05:00,10:05:00,25
trip_0,2677221061,10:10:00,10:10:00,26
trip_0,1600599839,10:15:00,10:15:00,27
trip_0,3423728891,10:20:00,10:20:00,28
trip_0,1600599682,10:25:00,10:25:00,29
trip_0,2677221046,10:30:00,10:30:00,30
trip_0,1600623754,10:35:00,10:35:00,31
trip_0,1600599672,10:40:00,10:40:00,32
trip_0,3423728856,10:45:00,10:45:00,33
trip_0,1600599778,10:50:00,10:50:00,34
trip_0,1600599753,10:55:00,10:55:00,35
trip_0,1600599719,11:00:00,11:00:00,36
trip_0,1600599700,11:05:00,11:05:00,37
trip_0,1600623814,11:10:00,11:10:00,38
trip_0,1600623778,11:15:00,11:15:00,39
trip_0,1600599746,11:20:00,11:20:00,40
trip_0,1600599518,11:25:00,11:25:00,41
trip_0,1600599689,11:30:00,11:30:00,42
trip_0,12540087817,11:35:00,11:35:00,43
trip_0,1600623775,11:40:00,11:40:00,44
trip_0,3017320703,11:45:00,11:45:00,45
trip_0,1600599508,11:50:00,11:50:00,46
trip_0,1600599634,11:55:00,11:55:00,47
trip_0,1600599754,12:00:00,12:00:00,48
trip_0,3365328408,12:05:00,12:05:00,49
trip_0,2032749227,12:10:00,12:10:00,50
trip_0,3365328417,12:15:00,12:15:00,51
trip_0,3365328422,12:20:00,12:20:00,52
trip_0,2032749289,12:25:00,12:25:00,53
trip_0,2032749235,12:30:00,12:30:00,54
trip_0,3365328454,12:35:00,12:35:00,55
trip_0,2032749252,12:40:00,12:40:00,56
trip_0,1637668033,12:45:00,12:45:00,57
trip_0,12538587814,12:50:00,12:50:00,58
trip_0,2677410637,12:55:00,12:55:00,59
trip_0,2677410633,13:00:00,13:00:00,60
trip_0,12288449162,13:05:00,13:05:00,61
trip_0,2677410631,13:10:00,13:10:00,62
trip_0,2677410627,13:15:00,13:15:00,63
trip_0,11070784564,13:20:00,13:20:00,64
trip_0,11070784563,13:25:00,13:25:00,65
trip_0,3338059195,13:30:00,13:30:00,66
